gene_id,sample4,sample5,sample13,sample14,sample17,sample18
g29561,0,0,0,0,0,0
g29562,1,0,2,1,11,1
g29563,1,0,1,4,5,1
g29564,2,1,3,2,2,1
g29565,2.004,2,0,2,6.16,1
g29566,0,0,0,0,1,1
g29567,0,0,0,0,8,0
g29568,2.002,1.001,1,0,2,2
g29569,1,1,1,0,5,0
g2957,275.66,223,241.008,376,774.017,216
g29570,0,1,2,1,1,1.026
g29571,3,2,1,2,2,0
g29572,1,1,2,1,1,3.01
g29573,2,1,1,2,1,0
g29574,1,2,0,0,1,2
g29575,0,1,1,3,3,1
g29576,1.648,1.657,0,3.405,4.246,0
g29577,116.047,74.326,77.682,119.727,400.357,74.776
g29578,25.237,31.367,27.927,42.373,130.462,31.597
g29579,2.215,1.092,2.229,1.083,8.821,0
g2958,33.615,19.214,28.832,36.087,118.359,25.179
g29580,42.437,26.661,29.303,29.616,81.516,25.537
g29581,204.157,144.103,147.408,270.075,701.929,143.971
g29582,15.154,23.467,24.81,44.098,152.414,19.587
g29583,71.15,60.828,64.235,138.524,257.478,62.031
g29584,154.563,50.061,30.493,60.113,73.682,12.594
g29585,8.247,5.073,0,13.017,11.523,1.161
g29586,23.957,17.233,9.668,17.136,56.402,7.035
g29587,2.214,2.061,1.026,2.966,10.351,4.078
g29588,12.46,14.223,11.915,23.899,27.412,13.511
g29589,19.853,11.489,16.728,33.972,80.952,16.652
g2959,1844.999,1264,1543.936,2463.012,4961.821,1226.981
g29590,67.289,21.524,0,0,0,0
g29591,5.5,0,1.118,1.169,1.106,0
g29592,8.195,4.395,3.038,4.001,7.018,4.007
g29593,7.304,12.784,5.27,23.085,5.098,6.612
g29594,3,4,3,7,13.03,5
g29595,9,1,9,12.849,16,7.357
g29596,18.679,3.023,0,0,1,0
g29597,1.336,6.29,0,0,4.755,2
g29598,9,5,7,6,12,3
g29599,9,0,8,9,13,3
g296,2089.648,1506.242,1556.655,2673.186,5801.435,1466
g2960,919.677,527.606,580,953,2144.255,392.547
g29600,3,1,2,4.225,10.189,2
g29601,5.922,1,5.023,5,8,2
g29602,4,2.372,4,2,10,1
g29603,0,1.649,1.444,1.567,3.83,1
g29604,4,2,3,1,6,1
g29605,2,1,2,1,4,2
g29606,0,0,0,0,0,0
g29607,2,3,0,4,2,2
g29608,3,2.98,0,0,1,0
g2961,1196.094,1387.799,1042.86,2767.197,4287.231,964.53
g29610,0,0,1.535,0,3.447,0
g29611,0,3,0,0,11,1
g29612,2,0,1,2,5,2
g29613,3,0,5,1,3,1
g29614,1,0,1,3,6,1
g29615,1,3,1,2,5,0
g29616,2.126,1,0,0,0,0
g29617,2,4,0,0,0,0
g29618,2,0,1,2,3,2
g29619,0,1,0,1,3.791,2
g2962,680.297,470.678,306.28,512.822,1699.34,452.992
g29620,0,0,0,0,4,0
g29621,1,2.005,1,0,0,0
g29622,0,1,1,3,3,0
g29623,3,0,0,0,0,0
g29624,2,0,0,2,3,0
g29625,0,0,0,0,5,1
g29626,6.002,4.031,0,6.796,5.906,3
g29627,12.844,7.331,4.308,2.154,29.092,4.774
g29628,112.703,60.537,67.157,123.608,298.706,84.128
g29629,60.236,31.62,38.983,42.445,150.078,56.271
g2963,1477.401,944.994,1152.02,1844.87,4374.08,942.32
g29630,34.816,20.174,22.019,45.58,118.063,23.626
g29631,0,1.525,11.337,10.434,21.225,2.629
g29632,78.085,63.222,38.734,83.677,169.779,48.453
g29633,26.044,9.539,20.958,39.669,57.147,14.321
g29634,9.275,1.185,7.618,8.348,13.056,4.329
g29635,1,0,1.064,0,1.269,2.13
g29636,0,3.008,0,3.001,4.002,2
g29637,3.53,3.411,0,7.45,7.87,0
g29638,0,0,1.085,0,1.052,0
g29639,1.781,2.032,0,11.085,2.976,2.102
g2964,365.993,259,300.548,402,1274.818,247.086
g29640,5.377,3.976,3.031,6.13,14.869,2.483
g29641,9,8,9,5,12,5
g29642,8,3,9,8,12,4
g29643,0,0,0,0,0,0
g29644,6.763,7,1,14,10,2
g29645,6,4,0,0,0,0
