gene_id,sample6,sample7,sample15,sample16,sample19,sample20
g4555,264.523,272.729,241.366,157.162,136.171,200.138
g45550,2,1,0,0,1,3
g45551,1.021,2.702,1,1,0,0
g45552,0,1.961,1,1,1,3
g45553,1,0,3,1,0,0
g45554,0,1,1,1,0,2
g45555,1,0,2,1,0,0
g45556,0,0,4,3,1,1
g45557,0,1,3,0,0,1
g45558,0,0,2.5,0,0,0
g45559,0,0,1.642,0,0,0
g4556,106.095,147.858,129.303,126.278,73.508,158.033
g45560,0,0,0,0,0,0
g45561,0,0,0,0,0,0
g45562,1,2,3,1,0,1
g45563,0,0,1,5,1,1
g45564,0,2.002,1,0,2,1
g45565,0,1,3,0,1,0
g45566,0,2,2,1,0,0
g45567,1,1,0,0,0,0
g45568,0,0,1,0,2,0
g45569,1,3,0,0,0,2
g4557,347.999,385.02,295.919,235.999,191,302.162
g45570,0,1,0,0,4,0
g45571,0,0,0,0,0,1
g45572,1,0,3,0,1,0
g45573,0,0,0,0,0,1
g45574,0,2,1,0,0,0
g45575,0,0,2,0,2,0
g45576,1,1,1,0,1,1
g45577,0,0,2,3,1,1
g45578,4,0,0,0,1,0
g45579,0,1.047,0,0,0,1
g4558,220.037,153.876,219.007,155,118,159.989
g45580,1,0,0,1,0,0
g45581,0,2,0,2,0,2
g45582,0,1,0,0,2,0
g45583,6,0,1,0,0,1
g45584,0,0,0,0,0,0
g45585,0,0,0,0,0,1.017
g45586,0,1,1,1,0,0
g45587,1.998,0,0,1,0,0
g45588,2,2,0,3,0.91,1
g45589,0,1,0,1,0,0
g4559,100.037,132.214,83.675,84.284,59.44,123.921
g45590,3,0,1,1,0,0
g45591,2,1,1,0,0,0
g45592,1,0,0,1,1,0
g45593,1,1,2,0,0,1
g45594,0,0,1,1,0,0
g45595,0,1.066,0,0,0,0
g45596,0,1,0,0,1,0
g45597,0,0,0,0,0,1
g45598,0,2,0,1,0,0
g45599,1,1,0,1,1,0
g456,2128.195,2796.076,3054.291,2008.25,2058,2652
g4560,5596.019,6929.494,5820.978,3875.708,4640.949,6100.284
g45600,0,2,0,0,2,0
g45601,1,1.004,0,0,1,1
g45602,1,0,1,0,2,2
g45603,1,1,1,1,0,0
g45604,1,0,0,0,0,0
g45605,0,0,0,1,2,1
g45606,0,0,0,0,0,0
g45607,1,0,0,0,0,1
g45608,1,0,0,0,0,1
g45609,1,1.013,0,2,0,1
g4561,348.536,544.866,434.58,340.895,240.255,418.261
g45610,0,0,0,0,0,0
g45611,2,2,0,1,0,1
g45612,0,0,0,0,0,0
g45613,1,0,1,0,0,0
g45614,0,0,0,0,0,0
g45615,0,0,0,0,2,0
g45616,1,1,1,0,0,1
g45617,0,0,0,0,0,1
