"","sample4","sample5","sample6","sample7","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g37213",7.50250038882123,46.0117244649944,0,24.4664093801562,7.61799358484412,12.6166812831107,0,68.4727491683167,6.05052221108165,53.0574869772948,4.31776891310663,26.9259402505286
"g7366",5.62687529161592,20.4496553177753,3.13352649997587,15.7284060301004,8.88765918231814,14.8431544507185,2.99400679910071,37.4662212430412,4.70596171973017,22.3399945167557,4.31776891310663,18.9478838800016
"g5151",3649.96643916153,185610.01838833,336.331844330743,68714.7845445036,19390.3330046232,49518.247563042,220.558500867086,259432.911089443,15106.1371203338,192830.455170691,1168.67611914753,93170.7340661533
"g1078",115.350943478126,177.656380573173,100.272847999228,205.343078726311,149.820540501934,395.570066111648,96.8062198375896,290.686199299458,164.708660190556,358.836161925388,118.019016958248,237.347177023178
"g13731",450.150023329274,25482.8267328627,40.7358444996863,4049.19075241585,605.630489995107,4875.97623706103,14.9700339955035,30060.8288235546,1608.09434765637,24479.0489917351,44.6169454354351,9543.74993324293
"g7372",960.320049769118,1441.70069990316,814.716889993725,1463.61556113434,892.574915024236,916.564787331867,744.50969070971,1417.2567139178,934.133401366438,1503.76088090912,800.226505229095,1347.29426957275
"g9272",31.8856266524902,76.6862074416573,30.2907561664334,64.6612247904127,36.8203023267466,47.4980942422992,19.9600453273381,117.566418383336,43.698215968923,115.88872155567,30.2243823917464,99.7257046315876
"g7727",380.751894732677,352.756554231624,552.545172829078,252.528296816612,448.191955908329,244.912048436855,501.995139982552,270.015180682607,615.808705038976,252.721187970799,463.440530006778,362.004307812663
"g2748",49.7040650759407,129.088449193456,39.691335666361,84.758632495541,71.1012734585451,89.058926704311,36.9260838555754,191.206922205865,47.0596171973017,154.983711959993,40.2991765223285,79.7805637052701
"g6443",74.0871913396097,71.5737936122135,116.984989332432,44.5638170852844,110.46090698024,58.6304600803381,97.8042221039565,32.2984665888286,103.531157834064,27.9249931459446,112.261991740772,45.8738241305303
"g164",126849.463136544,83599.4690425227,169566.608510861,91679.1311487852,122153.257467378,83532.078144586,113654.494098396,89887.9244553736,145830.022471613,91087.1388930995,110899.016020535,64599.3196892035
"g5389",169.74407129708,1863.47484083227,104.450883332529,1451.38235644426,559.922528486043,774.812662327506,89.8202039730213,2432.72050347057,425.217255389904,2098.56323491774,97.8694286970835,1070.05681069693
"g11844",2.81343764580796,12.7810345736095,10.4450883332529,13.1070050250837,11.4269903772662,244.169890714319,5.98801359820142,100.771215757145,4.70596171973017,53.0574869772948,10.0747941305821,1098.9772650401
"g41038",0.937812548602654,12.7810345736095,4.17803533330116,23.5926090451506,2.53933119494804,8.9058926704311,0,38.7581599065944,5.37824196540591,33.5099917751336,0,23.934169111581
"g19862",738.996288298891,69.0175866974916,2253.00555348265,45.43761742029,1183.32833684579,186.281588356517,479.041087856113,111.10672506557,77.3122282527099,53.0574869772948,1253.59224110529,146.596785808434
"g5161",111.599693283716,48.5679313797163,256.949172998021,104.856040200669,196.798167608473,73.4736145310566,270.458614185431,67.1808105047635,280.677002569621,125.662469156751,224.523983481545,113.68730328001
"g2940",327.296579462326,646.720349424643,338.420861997394,533.018204353402,385.978341632102,477.949573313136,380.23886348579,894.021555178776,348.913447505708,756.767314255099,313.757874352415,455.746470166355
"g6037",49.7040650759407,97.1358627594326,55.3589681662403,67.2826257954295,68.5619422635971,146.205071339577,53.8921223838128,149.864884972165,61.1775023564922,154.983711959993,41.7384328266974,106.706503955799
"g10981",225.075011664637,76.6862074416573,310.219123497611,164.274462981049,166.326193269097,97.2226616522062,222.554505399819,125.318050364655,249.079831022861,96.341226353509,343.982256744161,146.596785808434
"g48923",1209.77818769742,750.24672947088,1569.89677648791,828.362717585287,1058.90110829333,734.736145310566,1006.98428676421,779.039014122546,1628.26275502664,822.391048148069,1066.48892153734,560.458460029522
"g1091",9810.45707093236,6396.90780409158,14052.8218435584,8581.59309008977,11494.2826539323,8727.77481702248,10603.7740801483,6499.74341633587,10123.8682196309,6168.63098593917,10319.4677023248,6195.95802876054
"g9742",1187.27068653096,2769.65019210119,838.740593160207,1590.31660971015,1009.38414999185,1121.40031875178,812.373844822659,2913.32168631234,788.920868300479,2634.72310331988,864.993038925694,1363.2503823138
"g1382",47.8284399787354,98.4139662167935,43.8693709996621,65.5350251254183,39.3596335216946,114.292289270532,47.9041087856113,96.8953997664859,56.8076807595999,107.511223611887,43.1776891310663,68.8107361957954
"g12257",2.81343764580796,20.4496553177753,3.13352649997587,10.4856040200669,3.80899679242206,5.9372617802874,0.998002266366903,23.2548959439566,3.69754135121656,30.7174924605391,4.31776891310663,36.8985107136874
"g3428",6.56468784021858,12.7810345736095,6.26705299995173,23.5926090451506,8.88765918231814,133.588390056467,1.99600453273381,46.5097918879132,8.7396431937846,33.5099917751336,5.7570252174755,22.9369120652651
"g5767",12.1915631318345,857.607419889201,3.13352649997587,600.300830148832,113.000238175188,350.298445036957,3.99200906546761,1458.5987511515,127.060966432715,1301.30468060102,34.542151304853,649.214337151635
"g23003",5.62687529161592,47.2898279223553,0,22.718808710145,1.26966559747402,14.1009967281826,1.99600453273381,56.8453011963384,11.4287641764876,44.6799890335114,1.43925630436888,28.9204543431604
"g41100",1969.40635206557,1012.25793822988,2413.85991381474,1049.4342023417,1741.98119973435,1134.75915775743,1496.00539728399,1299.69029553446,2317.68614696711,1351.56966826372,1568.78937176207,753.926327014802
"g6531",296.348765358439,153.372414883315,356.177512163923,228.935687771461,382.16934483968,172.180591628335,218.562496334352,130.485805018868,250.424391514213,159.172460931884,354.057050874743,179.506268336858
"g19974",452.963460975082,37.0650002634677,1335.92679782304,27.0878103851729,662.765441881438,128.393285998715,373.252847621222,38.7581599065944,38.3199740035171,50.2649876627003,712.431870662593,95.7366764463241
"g11859",65.6468784021858,215.999484294001,64.7595476661679,138.934253265887,95.2249198105515,79.410876311344,63.8721450474818,161.492332944143,65.5473239533845,164.757459561073,86.3553782621325,173.522726058962
"g17024",508.294401342638,837.157764571425,204.723731331757,630.883841874027,468.506605467913,607.827174756923,187.624426076978,808.753603384269,426.225675758418,1146.32096864103,276.337210438824,984.292704713769
"g18334",0.937812548602654,6.39051728680477,2.08901766665058,0.873800335005577,0,50.4667251324429,0,65.8888718412104,1.00842036851361,5.58499862918893,1.43925630436888,513.587378852676
"g9642",463.279399009711,1395.68897543816,684.153285828064,851.081526295432,573.888850058257,537.32219111601,399.200906546761,2166.58113877862,517.319649047481,1802.55830757073,368.449613918432,1119.91966301273
"g1379",135.982819547385,236.449139611777,103.406374499204,207.090679396322,142.20254691709,336.93960603131,140.718319557733,260.971610037735,149.91849478569,217.814946538368,172.710756524265,195.462381077912
"g22644",11291.263085176,7722.30108937489,14488.3820270551,9298.98316512935,10567.4267677763,6507.23891119499,10750.4804133043,5851.19020723219,12056.6739259487,8705.61661324824,14026.9919423791,8672.14727476286
"g30386",1029.71817836571,111.195000790403,2433.70558164792,42.8162164152733,1072.86742986555,218.936528148098,656.685491269422,127.901927691761,70.5894257959525,74.0012318367533,1443.57407328198,191.473352892648
"g6792",192.251572463544,125.254138821374,323.79773833084,169.517264991082,303.450077796291,173.664907073406,222.554505399819,107.230909074911,261.180875445024,135.436216757831,218.766958264069,154.574842178961
"g7085",33.7612517496955,113.751207705125,43.8693709996621,91.7490351755856,40.6292991191686,78.6687185888081,37.9240861219423,55.5533625327852,47.3957573201396,72.604982179456,57.570252174755,90.7503912147447
"g7620",179.122196783107,694.010177346998,180.700028165275,239.421291791528,184.101511633733,372.563176713034,178.642405679676,3135.53513644348,244.373869303131,1033.22474639995,194.299601089798,1527.79779495592
"g14145",0,6.39051728680477,1.04450883332529,221.071484756411,13.9663215722142,1827.19231288345,0.998002266366903,14.2113252990846,14.1178851591905,79.5862304659422,7.19628152184438,587.384400280051
"g9745",17.8184384234504,62.6270694106868,29.2462473331081,56.7970217753625,36.8203023267466,43.7873056296196,19.9600453273381,117.566418383336,33.6140122837869,80.9824801232394,12.9533067393199,60.8326798252684
"g18790",36.5746893955035,131.644656108178,61.626021166192,124.079647570792,63.483279873701,73.4736145310566,49.9001133183451,94.3115224393796,63.8666233391951,110.303722926481,50.3739706529106,94.7394194000082
"g12963",50.6418776245433,122.697931906652,37.6023179997104,90.0014345055745,52.0562894964348,61.5990909704818,37.9240861219423,260.971610037735,70.5894257959525,173.134957504857,38.8599202179596,131.637930113696
"g7018",44.0771897843247,21.7277587751362,78.3381624993967,20.9712080401339,31.7416399368505,31.1706243465089,66.8661518465825,27.130711934616,57.8161011281135,8.37749794378339,73.4020715228126,21.9396550189493
"g12996",60.0200031105699,106.082586960959,44.9138798329874,60.2922231153848,55.8652862888569,282.762092286187,60.8781382483811,236.424775430226,48.0680375658153,128.454968471345,64.7665336965994,139.615986484223
"g9578",401.383770801936,339.975519658014,414.67000683014,245.537894136567,438.034631128537,339.908236921454,485.029101454315,254.51191671997,536.815776172077,286.231179745932,582.898803269395,360.009793720031
"g4857",614.267219334738,1455.75983793413,574.479858328909,996.132381906358,662.765441881438,634.544852768216,494.011121851617,1931.44830201195,563.034705753431,1785.80331168316,462.001273702409,809.772721608491
"g10481",10.3159380346292,60.0708624959649,6.26705299995173,7.8642030150502,10.1573247797922,8.9058926704311,6.98601586456832,139.52937566374,3.69754135121656,74.0012318367533,2.87851260873775,36.8985107136874
"g10859",202.567510498173,433.277072045364,176.521992831974,246.411694471573,218.382482765531,356.235706817244,227.544516731654,567.161073299831,265.214556919079,477.517382795653,189.981832176692,320.119511867396
"g8621",61.8956282077752,153.372414883315,84.6052154993484,139.808053600892,101.573247797922,329.518028805951,51.896117851079,312.649156579861,32.9417320381112,148.002463673507,50.3739706529106,89.7531341684288
"g3245",153.801257970835,306.744829766629,119.074006999083,270.878103851729,156.168868489304,207.062004587523,85.8281949075537,254.51191671997,188.574608912045,371.402408841064,86.3553782621325,218.399293143177
"g8723",55.3309403675566,24.2839656898581,50.1364239996139,39.321015075251,53.3259550939088,23.7490471211496,50.8981155847121,24.5468346075098,53.1101394083833,36.302491089728,61.8880210878616,23.934169111581
"g8183",421.077834322592,1775.28570227437,635.061370661776,1291.47689513824,667.844104271334,1027.88844571226,462.075049327876,511.607710767045,368.745714753143,989.941007023737,564.188471312599,1404.13792121275
