gene_id,sample4,sample5,sample6,sample7,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20
g1661,361.168,239.971,369.388,389.792,377.094,417.83,380.913,356.96,1205.306,279.639,244.739,304.467
g16610,24.102,18.095,18.431,33.654,14.452,23.627,14.3,21.105,82.943,11.924,16.869,30.145
g16611,258.654,145.784,308.365,290.44,160.538,256.461,166.978,114.196,693.441,110.13,125.09,157.213
g16612,318.725,209,336.998,223.967,194.919,301.991,326,234.983,791.553,165.861,155,289.98
g16613,23.907,16.843,40.158,21.91,23.602,21.377,33.039,24.575,76.246,18.928,32.201,27.803
g16614,164.989,136.691,201.375,216.581,145.326,183.225,169.536,92.401,390.577,101.821,119.032,146.244
g16615,16.167,8.528,12,11,5,14.194,22,17,16.971,0,7.051,12
g16616,11,5,16.968,13,6,13,18,6.002,41.731,12.222,13,7.181
g16617,6.01,10,5.004,12.001,7.008,8.033,7.835,10.052,34.016,5,9.066,8
g16618,4,5,4,3,5,19,2,10,5,8,2,12
g16619,1,2,2,6,4,0,2.936,0,6.708,1,3,5.547
g1662,13860.062,9138.846,15189.74,11801.022,7859.632,14995.949,14344.098,6927.714,30454.78,7593.615,10487.544,11697.229
g16620,3,4,4.167,2,1,3,4,6,8,1,1,5
g16621,4,3,5,4,3,3,4,3,8,9,3,1
g16622,2,1,3,5,1,5,3,5,14,3,1,3
g16623,1,3,4,4,3.683,4.001,2,0,7,4,1,1
g16624,35.277,23.178,31.274,88.86,16.019,21.325,31.647,41.407,108.507,22.421,18.197,22.021
g16625,4.478,3.615,2.796,7.784,0,3.931,2.463,3.907,12.829,4.493,1.057,2.493
g16626,272.816,213.167,288.188,317.537,244.047,350.352,281.916,193.104,995.556,208.377,180.228,216.947
g16627,467.393,649.543,303.131,521.167,315.995,587.8,305.132,770.343,1097.963,650.024,230.75,597.614
g16628,7.794,0,23.03,5.383,11.252,11.846,3.335,5.677,16.178,7.675,4.43,1.053
g16629,0,0,2.065,0,1.021,1.023,0,0,2.075,0,2.081,0
g1663,1443.289,1046.707,1183.953,1515.177,1036.559,1771.482,1345.935,1013.812,4315.204,928.22,932.566,1407.646
g16630,0,0,0,0,0,1,0,0,0,0,0,0
g16631,8.448,5.487,1.811,8.538,5.028,9.444,2.021,3.009,13.027,3.591,2.004,5.18
g16632,10,2,5,10,1,5,3,3,6,0,3.019,4
g16633,8,1,5,4,5.038,2,1,4,2,1,1,2
g16634,3,1,3,2.999,3,2,5,2,12.169,2,5,2
g16635,4,0,2,2,3,2,5,3,2,5,1,3
g16636,26.957,26.388,21.911,12.428,18.896,33.815,14.141,16.875,86.707,21.252,26.887,17.485
g16637,78.726,60.313,153.839,153.43,89.507,109.57,96.041,105.745,680.176,109.03,80.902,153.823
g16638,0,1.78,4.107,1.872,1.77,1.745,4.244,0,28.045,0,0,9.26
g16639,23.526,12.904,14.172,11.941,4.916,22.867,15.012,12.07,85.01,9.162,10.661,11.592
g1664,647.164,544.001,675.32,894.901,554.949,943.625,625.89,513,1601.374,513,475.551,709.7
g16640,31.113,13.068,44.176,31.445,25.775,26.274,38.451,27.225,100.532,23.62,35.596,23.071
g16641,8.058,5.479,5.683,14.693,2.335,16.789,4.579,5,24.729,5.707,5.876,18.164
g16642,3.029,3.044,0,0,3.018,4.016,4,2,7.015,1,6.221,0
g16643,2.332,3,4,7,4.321,5.088,2,0,20.231,4,3.061,4
g16644,1,3,6,2,3,5.001,9,1,15,1,0,0
