gene_id,sample1,sample2,sample3,sample4,sample6,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample17,sample19
g17293,1,3,0,4,2,3,3,1,4,7,2,1,8,4
g17294,13,0,2.003,0,5.592,1.126,0,0,0,0,0,5,13.03,0
g17295,4,2,7,4,2,2,6,5,2,1,1,2,3,1
g17296,3,1,8,4,4,4,5,0,7,1,0,2,7.983,1
g17297,79.546,105.999,94.673,90.87,93.368,65.06,79.664,79.93,59.746,96.995,68.981,72.423,228.325,76.139
g17298,23.547,13.707,38.797,18.136,17.738,12.755,33.816,32.771,16.471,21.665,20.796,15.567,38.498,8.536
g17299,23,23.84,35.405,16,27.044,51.001,39.701,25.541,28.179,38.872,18.009,34.988,91.142,15.623
g173,13763.249,15204.238,13440.756,14978.541,17272.774,18843.592,18255.337,16639.778,11017.554,18832.85,12132.811,12277.805,45876.33,9843.69
g1730,2961.85,4206.553,2936.129,2797.695,2388.61,3090.163,3254.273,2355.799,2484.656,3054.758,2317.448,2759.53,8360.085,1759.827
g17300,5.001,4.001,5.281,11.124,8.13,8,24.036,2,10.594,6.019,8.87,3,15.044,0
g17301,7,28,0,28,0,6,0,0,0,0,0,3,0,18
g17302,8,2,9.946,13,6,12,4,6,5,7,6,4,14.811,2
g17303,3,6,6,7,3,11,7,7,3,6,2,9.923,23,4
g17304,2,0,1,0,3,4,1,4,0,8,6,0,19,5
g17305,3,5,6.059,3,1.97,7,3,1,4,6,3,4,10.913,1
g17306,7,7.931,3,0,3,2.379,6,2,2.441,5.005,5,3,9.569,1.327
g17307,4,5,9,4,6,6,3,4,2,3,1,7,7,4
g17308,0,12,4,2,3,2,7,1,7,2,0,3,10,7
g17309,10,14,0,1,0,4,0,0,0,0,0,7,0,0
g1731,2993.099,3289.176,2693.252,1849.205,2302.977,3936.949,3896.901,1793.824,1761.873,2858.905,2082.593,2579.447,6244.483,1613
g17310,6,1,4,3,2,2,4.007,1,1,5,0,4,9.001,2
g17311,1,2,5,6.169,0,5,3,1,4,4,3,7,6,1
g17312,3,0,1,2.048,3,2,5,1,5,5,4,1,5.142,2
g17313,3.007,3.007,5.026,11.049,1.002,6.022,5.01,6.023,1.002,5.151,7.025,3.251,18.061,4.01
g17314,43.716,50.91,55.457,50.923,80.867,47.168,51.851,51.673,50.714,54.912,36.707,47.47,117.735,23.266
g17315,1.141,2.301,5.77,10.766,2.619,1.97,3.95,3.456,6.999,3.428,1.107,0,19.556,2.355
g17316,31.195,45.019,83.406,90.104,78.627,92.991,74.206,72.625,66.371,86.701,45.951,68.572,173.182,56.661
g17317,4.581,0,9.399,2.571,1.095,5.449,4.615,5.735,3.424,3.3,3.422,2.167,10.219,4.528
g17318,1.003,0,5.009,3,4.031,3,2.626,3.02,0,6.016,3.017,4,7.012,2
g17319,9,8.7,5.903,10.751,6,10.843,21.663,7,4,1,10.516,9,22.055,2
g1732,728.679,1043.634,858.886,669.043,686.565,874,746,723.001,604.751,792.297,557.999,681.395,2323.773,484.266
g17320,10.279,7.03,6.079,11.028,8.321,6.024,4.343,5.549,3.088,3.03,6.068,11.137,25.172,3.055
g17321,8,7,9,6.011,10,15.074,14,2,7,9,7.001,18.029,23,4
g17322,6.967,6,5.321,12,11,5.986,7.833,22.998,8,5.035,2.152,5,20.59,6
g17323,2,11,13,9,8.099,11,15.884,5,4.001,12.005,9,13,25.592,4.017
g17324,5.001,2,6,5,6,4,4,3,7.28,6,5,5.115,13,2
g17325,0,0,0,1,62,32,0,0,4,0,0,0,0,0
g17326,2,5,2,8,1,5,5,4,1,6,2,7,14,2
g17327,1,0,0,1,0,1,2,0,0,1,2,3,3,2
g17328,1,0,1,0,1,5,4,2,2,5,10,5,13.707,0
g17329,3,5,2,1,0,2,2,2,2,5,2,1,7.009,2
g1733,2405.386,2792.654,2825.867,2453.231,2356.076,2851.901,2824.305,2400.221,2276.421,2724.058,1777.004,2365.278,7269.682,1337.48
g17330,19.038,18.519,20.378,11.547,7.854,10.397,7.723,8.813,6.882,12.511,3.327,4.724,23.087,10.873
g17331,9.804,11.211,6.088,5.006,7.17,7.999,2.036,3.042,3.065,6.101,4.051,14.132,25.471,5.066
g17332,85.526,103.316,117.252,86.962,122.562,100.858,131.859,113.74,102.217,139.408,81.77,88.489,307.921,85.347
g17333,23.858,34.466,56.233,28.204,43.13,45.216,31.794,38.192,36.309,43.049,29.896,42.695,113.645,38.987
